Date,Open,High,Low,Close,Adj Close,Volume
2018-09-27,344.160004,346.790009,342.410004,346.049988,341.075439,1170000
2018-09-28,345.720001,348.000000,344.709991,345.959991,340.986755,1827500
2018-10-01,347.089996,348.329987,344.869995,347.929993,342.928406,809500
2018-10-02,348.619995,349.880005,346.369995,349.070007,344.052063,960500
2018-10-03,350.000000,351.350006,347.220001,347.440002,342.445465,1237500
2018-10-04,346.820007,349.660004,345.589996,349.459991,344.436432,1203600
2018-10-05,348.299988,350.899994,345.649994,347.209991,342.218781,889000
2018-10-08,346.890015,350.489990,346.269989,349.929993,344.899658,825100
2018-10-09,348.619995,349.459991,346.160004,347.309998,342.317352,986100
2018-10-10,346.850006,347.250000,336.750000,336.750000,331.909149,1792500
2018-10-11,334.730011,338.000000,325.010010,326.260010,321.569946,1937900
2018-10-12,330.589996,331.470001,322.600006,327.619995,322.910370,1294000
2018-10-15,327.929993,333.980011,327.929993,331.239990,326.478333,1003600
2018-10-16,332.470001,337.399994,331.140015,337.130005,332.283661,860300
2018-10-17,335.720001,337.190002,333.320007,333.399994,328.607300,1181700
2018-10-18,331.350006,333.320007,325.040009,328.000000,323.284912,1323000
2018-10-19,327.200012,330.040009,326.059998,328.140015,323.422943,1101200
2018-10-22,331.619995,331.619995,324.470001,326.779999,322.082458,1407700
2018-10-23,325.230011,334.769989,315.589996,321.350006,316.730530,2995700
2018-10-24,328.109985,328.109985,310.420013,311.130005,306.657440,2396800
2018-10-25,313.209991,316.549988,305.450012,306.410004,302.005310,2352500
2018-10-26,303.399994,308.970001,301.660004,305.049988,300.664825,1909600
2018-10-29,309.500000,309.500000,283.209991,286.670013,282.549072,3262900
2018-10-30,285.609985,292.500000,283.720001,291.070007,286.885803,2870000
2018-10-31,294.359985,299.100006,293.529999,293.850006,289.625854,1980100
2018-11-01,295.730011,301.440002,295.010010,299.420013,295.115784,1526900
2018-11-02,301.040009,302.750000,297.750000,299.279999,294.977783,1597200
2018-11-05,302.000000,304.299988,300.589996,303.209991,298.851288,1650500
2018-11-06,304.049988,308.760010,304.049988,306.559998,302.153107,1123200
2018-11-07,308.059998,309.959991,304.160004,309.820007,305.366272,983000
2018-11-08,310.000000,311.019989,306.359985,308.559998,304.124390,879000
2018-11-09,307.190002,314.160004,307.140015,313.119995,308.618835,1294300
2018-11-12,313.200012,314.230011,304.600006,305.119995,300.733826,1117800
2018-11-13,304.809998,308.859985,302.230011,305.739990,301.344940,1121000
2018-11-14,308.269989,309.679993,303.010010,303.390015,299.028717,1192800
2018-11-15,302.170013,308.000000,299.739990,305.480011,301.088684,1233100
2018-11-16,303.839996,305.250000,299.869995,301.239990,296.909607,1319500
2018-11-19,301.089996,301.089996,293.220001,294.589996,290.355194,1558900
2018-11-20,291.359985,295.250000,288.559998,293.859985,289.635681,1281100
2018-11-21,295.000000,297.850006,294.230011,294.290009,290.059509,1355600
2018-11-23,293.059998,297.940002,291.929993,295.380005,291.133850,434300
2018-11-26,297.040009,298.850006,292.920013,295.279999,291.035278,1375900
2018-11-27,293.899994,295.660004,289.600006,295.290009,291.045166,1477400
2018-11-28,297.850006,300.529999,293.940002,299.940002,295.628296,1282700
2018-11-29,301.000000,304.980011,300.279999,302.420013,298.072662,2788500
